,X.x,kingdom,phylum,class,order,family,genus,scientific_name,sl_mm,sl_sex,sl_ref,tl_mm,tl_sex,tl_ref,fl_mm,fl_sex,fl_ref,dw_mm,dw_sex,dw_ref,max_weight_g,max_weight_ref,benthic,pelagic,benthopelagic,bathypelagic,pelagic.neritic,pelagic.oceanic,demersal,reef.associated,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non.migratory,freshwater,brackish,marine,use_fisheries,use_aquaculture,use_gamefish,use_bait,use_aquarium,use_ref,phylo_div,phylo_div_ref,troph_level,troph_level_se,troph_level_ref,resil,resil_ref,resil_K,resil_tm,resil_tmax,resil_fec,vulnerab,vulnerab_ref,price,price_ref,main_ref,IUCN_Status,Harvesting,Pollution,Energy_Production_and_Mining,Natural_System_Modification,Invasive_Species_and_Disease,Climate_Change,Development,Human_Disturbance,Transportation,Aquaculture_and_Agriculture,Other,Geological_Events
11,11,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,Conger conger,NA,,NA,3000,male/unsexed,4453,NA,,NA,NA,NA,NA,110000,35388,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,commercial,,yes,,public aquariums,4931;4699;274,0.5,82805,4.3,0.4,69278,4.5 - 14 years,120179,0.06,5-15 (female tm>10),,"3,000,000",86,59153,medium,80766,4453,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,12,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Gnathophis,Gnathophis codoniphorus,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,,0.5,82805,3.8,0.6,69278,less than 15 months,120179,,,,,38,59153,,NA,6521,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Gnathophis,Gnathophis mystax,NA,,NA,600,male/unsexed,3397,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,,,,,0.5,82805,3.5,0,69278,1.4 - 4.4 years,120179,,,,,39,59153,medium,80766,6521,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Heteroconger,Heteroconger longissimus,NA,,NA,510,male/unsexed,7251,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,,,,,,,0.5,82805,3.1,0.1,69278,1.4 - 4.4 years,120179,,,,,35,59153,,NA,4453,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Paraconger,Paraconger macrops,NA,,NA,500,male/unsexed,6521,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5078,82805,4,0.7,69278,1.4 - 4.4 years,120179,,,,,34,59153,,NA,6521,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Pseudophichthys,Pseudophichthys splendens,NA,,NA,387,male/unsexed,4453,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,1,82805,3.8,0.5,69278,1.4 - 4.4 years,120179,,,,,30,59153,,NA,4453,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,Animalia,Chordata,Actinopteri,Anguilliformes,Derichthyidae,Derichthys,Derichthys serpentinus,NA,,NA,400,male/unsexed,6592,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,6592,1.125,82805,3.1,0.3,69278,,120179,,,,,32,59153,,NA,5228,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,Animalia,Chordata,Actinopteri,Anguilliformes,Derichthyidae,Nessorhamphus,Nessorhamphus ingolfianus,NA,,NA,598,male/unsexed,13608,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.875,82805,3.5,0.5,69278,4.5 - 14 years,120179,,,,,47,59153,,NA,5228,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,Animalia,Chordata,Actinopteri,Anguilliformes,Heterenchelyidae,Panturichthys,Panturichthys fowleri,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5664,82805,3.9,0.6,69278,,120179,,,,,55,59153,,NA,26282,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,Animalia,Chordata,Actinopteri,Anguilliformes,Heterenchelyidae,Panturichthys,Panturichthys mauritanicus,NA,,NA,840,male/unsexed,6534,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5664,82805,3.2,0.37,69278,,120179,,,,,36,59153,,NA,6534,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenesocidae,Cynoponticus,Cynoponticus ferox,NA,,NA,2000,male/unsexed,4453,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,2683,0.625,82805,3.6,0.59,69278,,120179,,,,,77,59153,unknown,80766,4453,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenesocidae,Muraenesox,Muraenesox cinereus,NA,,NA,2200,male/unsexed,559,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,highly commercial,commercial,yes,occasionally,,4931;9987,0.625,82805,4.4,0.67,69278,1.4 - 4.4 years,120179,0.19-0.33,,,153,62,59153,very high,80766,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Enchelycore,Enchelycore anatina,NA,,NA,1200,male/unsexed,5288,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,subsistence fisheries,,,,,3254,0.5002,82805,4,0.67,69278,more than 14 years,120179,,,,,70,59153,medium,80766,4450,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,24,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax maderensis,NA,,NA,1000,male/unsexed,4450,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,2683,0.5,82805,4.1,0.7,69278,4.5 - 14 years,120179,,,,,61,59153,medium,80766,4450,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,25,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax polygonius,NA,,NA,840,male/unsexed,57911,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,4.5,0.8,69278,4.5 - 14 years,120179,,,,,61,59153,,NA,4450,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax unicolor,NA,,NA,1000,male/unsexed,27000,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,yes,,,3254,0.5,82805,3.4,0.59,69278,4.5 - 14 years,120179,,,,,62,59153,medium,80766,4450,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax vicinus,NA,,NA,1220,male/unsexed,7251,NA,,NA,NA,NA,NA,750,40637,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,,,commercial,3254;49392,0.5,82805,4.3,0.6,69278,more than 14 years,120179,,,,,75,59153,medium,80766,7251,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Muraena,Muraena helena,NA,,NA,1500,male/unsexed,12382,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,,,public aquariums,3254;273,0.501,82805,4.2,0.61,69278,more than 14 years,120179,,7.1,38.1,,79,59153,low,80766,4450,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,29,Animalia,Chordata,Actinopteri,Anguilliformes,Nemichthyidae,Avocettina,Avocettina infans,NA,,NA,745,male/unsexed,4456,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,,0.5645,82805,3.5,0.5,69278,4.5 - 14 years,120179,,,,,39,59153,,NA,4456,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,Animalia,Chordata,Actinopteri,Anguilliformes,Nemichthyidae,Nemichthys,Nemichthys curvirostris,NA,,NA,1430,male/unsexed,27000,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,3248,0.627,82805,3.3,0.41,69278,4.5 - 14 years,120179,,,,,60,59153,,NA,4456,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,31,Animalia,Chordata,Actinopteri,Anguilliformes,Nemichthyidae,Nemichthys,Nemichthys scolopaceus,NA,,NA,1300,male/unsexed,35388,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,5377,0.627,82805,3.5,0,69278,4.5 - 14 years,120179,0.3,,,,51,59153,,NA,7450,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,Animalia,Chordata,Actinopteri,Anguilliformes,Nettastomatidae,Venefica,Venefica proboscidea,NA,,NA,1000,male/unsexed,4454,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,6591,0.5312,82805,3.5,0.5,69278,4.5 - 14 years,120179,,,,,48,59153,,NA,4454,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Apterichtus,Apterichtus anguiformis,NA,,NA,493,male/unsexed,4455,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,4,0.7,69278,less than 15 months,120179,,,,,30,59153,,NA,101270,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,34,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Apterichtus,Apterichtus caecus,NA,,NA,600,male/unsexed,3397,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,4.1,0.64,69278,1.4 - 4.4 years,120179,,,,,34,59153,,NA,101270,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Echelus,Echelus myrus,NA,,NA,1000,male/unsexed,3397,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,minor commercial,,,,,3651,0.5625,82805,4.3,0.6,69278,1.4 - 4.4 years,120179,,,,,49,59153,unknown,80766,4455,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,36,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Ophichthus,Ophichthus ophis,NA,,NA,2100,male/unsexed,26938,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,subsistence fisheries,,,usually,,6077;3795,0.5,82805,4.5,0.8,69278,more than 14 years,120179,,,,,75,59153,unknown,80766,3651,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Ophichthus,Ophichthus rufus,NA,,NA,600,male/unsexed,3397,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,4.3,0.5,69278,1.4 - 4.4 years,120179,,,,,34,59153,,NA,3397,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Ophisurus,Ophisurus serpens,NA,,NA,2500,male/unsexed,3972,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,minor commercial,,yes,,,3651,0.75,82805,4.1,0.6,69278,more than 14 years,120179,,,,,76,59153,unknown,80766,6522,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,Animalia,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Pisodonophis,Pisodonophis semicinctus,NA,,NA,800,male/unsexed,3397,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,commercial,,,,,26999,0.502,82805,3.6,0.5,69278,1.4 - 4.4 years,120179,,,,,41,59153,unknown,80766,4455,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,Animalia,Chordata,Actinopteri,Anguilliformes,Serrivomeridae,Serrivomer,Serrivomer beanii,NA,,NA,780,male/unsexed,5236,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,5236,0.5059,82805,3.9,0.64,69278,4.5 - 14 years,120179,,,,,44,59153,,NA,5237,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,Animalia,Chordata,Actinopteri,Anguilliformes,Serrivomeridae,Serrivomer,Serrivomer lanceolatoides,NA,,NA,650,male/unsexed,12204,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5059,82805,3.5,0.5,69278,1.4 - 4.4 years,120179,,,,,38,59153,,NA,12204,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,Animalia,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Dysomma,Dysomma brevirostre,NA,,NA,300,male/unsexed,5235,NA,,NA,NA,NA,NA,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5001,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,21,59153,,NA,5235,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,Animalia,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Haptenchelys,Haptenchelys texis,NA,,NA,511,male/unsexed,26895,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,1,82805,4,0.4,69278,4.5 - 14 years,120179,,,,,43,59153,,NA,26895,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,Animalia,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Histiobranchus,Histiobranchus bathybius,NA,,NA,1370,,NA,NA,,NA,NA,NA,NA,"3,500.00",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,3973,0.625,82805,4.2,0.56,69278,4.5 - 14 years,120179,,,,,46,59153,,NA,31334,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,Animalia,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Ilyophis,Ilyophis brunneus,NA,,NA,580,male/unsexed,3973,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,3973,0.5156,82805,3.2,0.37,69278,4.5 - 14 years,120179,,,,,46,59153,,NA,5235,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,Animalia,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Simenchelys,Simenchelys parasitica,NA,,NA,610,male/unsexed,559,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,3973,1,82805,3.7,0.54,69278,1.4 - 4.4 years,120179,,,,,47,59153,,NA,26895,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,47,Animalia,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Synaphobranchus,Synaphobranchus kaupii,NA,,NA,1000,male/unsexed,27000,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,3973,0.5156,82805,4.1,0.4,69278,1.4 - 4.4 years,120179,,,,,54,59153,,NA,26895,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,48,Animalia,Chordata,Actinopteri,Ateleopodiformes,Ateleopodidae,Ijimaia,Ijimaia loppei,NA,,NA,2000,male/unsexed,36731,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5315,82805,4.3,0.71,69278,more than 14 years,120179,,,,,82,59153,,NA,6550,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,49,Animalia,Chordata,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus brevirostris,NA,,NA,960,male/unsexed,4059,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,1,82805,3.8,0.61,69278,,120179,,,,,52,59153,,NA,4476,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,Animalia,Chordata,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox,NA,,NA,2150,male/unsexed,7251,NA,,NA,NA,NA,NA,4500,4525,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,,,,,,,1,82805,4,0.2,69278,more than 14 years,120179,,,,,83,59153,,NA,6011,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,51,Animalia,Chordata,Actinopteri,Aulopiformes,Anotopteridae,Anotopterus,Anotopterus pharao,960,male/unsexed,31260,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,4.3,0.76,69278,4.5 - 14 years,120179,,,,,43,59153,,NA,31260,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,Animalia,Chordata,Actinopteri,Aulopiformes,Aulopidae,Aulopus,Aulopus filamentosus,440,male/unsexed,4471,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,,0.625,82805,4.2,0.61,69278,1.4 - 4.4 years,120179,,,,,41,59153,unknown,80766,4471,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,53,Animalia,Chordata,Actinopteri,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Chlorophthalmus agassizi,NA,,NA,400,male/unsexed,36731,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,minor commercial,,,,,,0.5,82805,3.7,0,69278,1.4 - 4.4 years,120179,,,,,40,59153,unknown,80766,3590,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
